ID	HINT	HINT	ANSWER	TYPEIN	TYPEIN
SVG Path	Road Type	Route	Road Name	Alternate	Alternate 2
walcott-street	Arterial Road	State Route 75	Walcott Street	r:^WALCOT+
wanneroo-road	Arterial Road	State Route 60	Wanneroo Road	r:^WAN+EROO
warton-road	Arterial Road		Warton Road
welshpool-road	Arterial Road		Welshpool Road
welshpool-road-east	Arterial Road	State Route 8	Welshpool Road East
west-coast-highway	Highway	State Route 71	West Coast Highway
west-swan-road	Arterial Road	State Route 52	West Swan Road
whitfords-avenue	Arterial Road	State Route 83	Whitfords Avenue	r:^WHIT?FORDS
william-street	Arterial Road	State Route 53	William Street
yanchep-beach-road	Arterial Road		Yanchep Beach Road	r:^YANCHEP
