ID	HINT	HINT2	ANSWER	TYPEIN	TYPEIN2
gilmore-avenue	Primary		Gilmore Avenue	Gilmore Ave	
gnangara-road	Primary	State Route 83	Gnangara Road	Gnangara Rd	
grand-promenade	Primary	State Route 55	Grand Promenade		
grandstand-road	Primary	State Route 55	Grandstand Road	Grandstand Rd	
grantham-street	Primary	State Route 72	Grantham Street	Grantham St	
green-street	Primary	State Route 75	Green Street	Green St	
gugeri-street	Primary		Gugeri Street	Gugeri St	
hale-road	Primary		Hale Road	Hale Rd	
hampton-road	Primary	State Route 12	Hampton Road	Hampton Rd	
harborne-street	Primary		Harborne Street	Harborne St	
hay-street	Primary		Hay Street	Hay St	
hayman-road	Primary		Hayman Road	Hayman Rd	
hepburn-avenue	Primary	State Route 82	Hepburn Avenue	Hepburn Ave	
high-road	Primary	State Route 27	High Road	High Rd	
hill-street	Primary	State Route 51	Hill Street	Hill St	
hill-view-terrace	Primary		Hill View Terrace	Hill View Tce	
hodges-drive	Primary		Hodges Drive	Hodges Dr	
horrie-miller-drive	Primary		Horrie Miller Drive	Horrie Miller Dr	
howtree-place	Primary		Howtree Place	Howtree Pl	
huntriss-road	Primary		Huntriss Road	Huntriss Rd	
hutton-street	Primary		Hutton Street	Hutton St	
jandakot-road	Primary		Jandakot Road	Jandakot Rd	
jon-sanders-drive	Primary		Jon Sanders Drive	Jon Sanders Dr	
joondalup-drive	Primary	State Route 85	Joondalup Drive	Joondalup Dr	
kalamunda-road	Primary	State Route 41	Kalamunda Road	Kalamunda Rd	
karel-avenue	Primary		Karel Avenue	Karel Ave	
kelvin-road	Primary		Kelvin Road	Kelvin Rd	
kent-street	Primary		Kent Street	Kent St	
kewdale-road	Primary		Kewdale Road	Kewdale Rd	
king-william-street	Primary		King William Street	King William St	
kings-park-road	Primary		Kings Park Road	Kings Park Rd	
kulija-road	Primary	State Route 22	Kulija Road	Kulija Rd	
lake-monger-drive	Primary	State Route 72	Lake Monger Drive	Lake Monger Dr	
lake-road	Primary		Lake Road	Lake Rd	
lawson-street	Primary		Lawson Street	Lawson St	
lloyd-street	Primary		Lloyd Street	Lloyd St	
loftus-street	Primary	State Route 61	Loftus Street	Loftus St	
london-street	Primary	State Route 61	London Street	London St	
lord-street	Primary	State Route 51	Lord Street	Lord St	
main-street	Primary		Main Street	Main St	
malaga-drive	Primary		Malaga Drive	Malaga Dr	
mandurah-road	Primary	National Route 1 / State Route 22	Mandurah Road	Mandurah Rd	
manning-road	Primary	State Route 26	Manning Road	Manning Rd	
marangaroo-drive	Primary	State Route 81	Marangaroo Drive	Marangaroo Dr	
marmion-street	Primary		Marmion Street	Marmion St	
meadow-street	Primary	State Route 52 / State Route 203	Meadow Street	Meadow St	
midgegooroo-avenue	Primary		Midgegooroo Avenue	Midgegooroo Ave	
mirrabooka-avenue	Primary		Mirrabooka Avenue	Mirrabooka Ave	
morley-drive-east	Primary	State Route 76	Morley Drive East	Morley Dr East	
morrison-road	Primary	National Route 1	Morrison Road	Morrison Rd	
mounts-bay-road	Primary	State Route 5	Mounts Bay Road	Mounts Bay Rd	
muchea-south-road	Primary	State Route 85 / State Route 359	Muchea South Road	Muchea South Rd	
mundaring-weir-road	Primary	State Route 207	Mundaring Weir Road	Mundaring Weir Rd	
mundijong-road	Primary	State Route 22	Mundijong Road	Mundijong Rd	
murdoch-drive	Primary		Murdoch Drive	Murdoch Dr	
neaves-road	Primary	State Route 85	Neaves Road	Neaves Rd	
