ID	HINT	ANSWER	TYPEIN
midgegooroo-avenue		Midgegooroo Avenue	
north-lake-road		North Lake Road	
berrigan-drive		Berrigan Drive	
frobisher-street		Frobisher Street	
scarborough-beach-road	State Route 75	Scarborough Beach Road	
flynn-street	State Route 64	Flynn Street	
howtree-place		Howtree Place	
hill-view-terrace		Hill View Terrace	
berwick-street		Berwick Street	
riseley-street		Riseley Street	
marmion-street		Marmion Street	
central-avenue		Central Avenue	
walter-road-west		Walter Road West	
king-william-street		King William Street	
shenton-avenue		Shenton Avenue	
collier-road		Collier Road	
port-beach-road		Port Beach Road	
victoria-street		Victoria Street	
swan-view-road		Swan View Road	
old-york-road		Old York Road	
manning-road	State Route 26	Manning Road	
oats-street		Oats Street	
amelia-street		Amelia Street	
widgee-road		Widgee Road	
coode-street		Coode Street	
fairbrother-street	State Route 55	Fairbrother Street	
royal-street		Royal Street	
cockburn-road	State Route 12	Cockburn Road	
hodges-drive		Hodges Drive	
stubbs-terrace		Stubbs Terrace	
roberts-road		Roberts Road	
johnson-street	State Route 1	Johnson Street	
murdoch-drive		Murdoch Drive	
odin-road		Odin Road	
lloyd-street		Lloyd Street	
great-northern-highway	National Highway 95	Great Northern Highway	
southern-river-road		Southern River Road	
spring-road		Spring Road	
abernethy-road	State Route 55	Abernethy Road	
russell-street		Russell Street	
toodyay-road	State Route 50	Toodyay Road	
garden-street		Garden Street	
stoneham-street	State Route 55	Stoneham Street	
dixon-road	State Route 22	Dixon Road	
bannister-road		Bannister Road	
ord-street	State Route 12	Ord Street	
collier-link		Collier Link	
embleton-avenue		Embleton Avenue	
jandakot-road		Jandakot Road	
yale-road		Yale Road	
woodrow-avenue		Woodrow Avenue	
council-avenue		Council Avenue	
whatley-crescent		Whatley Crescent	
watkins-road	State Route 22	Watkins Road	
stephenson-avenue	State Route 64	Stephenson Avenue	
mundaring-weir-road	State Route 207	Mundaring Weir Road	
meadow-street	State Route 52 / State Route 203	Meadow Street	
centenary-avenue		Centenary Avenue	
birdiya-drive	State Route 5	Birdiya Drive	
tydeman-road	State Route 204	Tydeman Road	
drumpellier-drive		Drumpellier Drive	
airport-drive		Airport Drive	
the-promenade		The Promenade	
brady-street		Brady Street	
walter-place	State Route 204	Walter Place	
muchea-south-road	State Route 85 / State Route 359	Muchea South Road	
